/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,GanhoEdNeo (Design_Point=1) X,GanhoEdNeo (Design_Point=1) Y,/I37/I0/b1 (Design_Point=1) X,/I37/I0/b1 (Design_Point=1) Y,GanhoVprod (Design_Point=1) X,GanhoVprod (Design_Point=1) Y
-0.3269999999999998,1.693040328773455,-0.3259999999999998,-0.07671190634828122,-0.3269999999999998,1.267652773250692,-0.3259999999999998,0.2492456302634058
-0.3259999999999998,1.692963616867107,-0.3249999999999998,-0.07728950358165669,-0.3259999999999998,1.267902018880956,-0.3249999999999998,0.2492288772719673
-0.3249999999999998,1.692886327363526,-0.3239999999999998,-0.07787363144839958,-0.3249999999999998,1.268151247758228,-0.3239999999999998,0.2492117249606183
-0.3239999999999998,1.692808453732077,-0.3229999999999998,-0.07846439742831272,-0.3239999999999998,1.268400459483188,-0.3229999999999998,0.2491941642788207
-0.3229999999999998,1.692729989334649,-0.3219999999999998,-0.07906190993334221,-0.3229999999999998,1.268649653647467,-0.3219999999999998,0.2491761859761963
-0.3219999999999998,1.692650927424715,-0.3209999999999998,-0.07966627767075345,-0.3219999999999998,1.268898829833443,-0.3209999999999998,0.2491577806045251
-0.3209999999999998,1.692571261147045,-0.3199999999999998,-0.08027761531526061,-0.3209999999999998,1.269147987614048,-0.3199999999999998,0.2491389385084195
-0.3199999999999998,1.692490983531729,-0.3189999999999998,-0.08089603680172523,-0.3199999999999998,1.269397126552556,-0.3189999999999998,0.2491196498266566
-0.3189999999999998,1.692410087494928,-0.3179999999999998,-0.08152166216612848,-0.3189999999999998,1.269646246202383,-0.3179999999999998,0.2490999044815199
-0.3179999999999998,1.692328565832762,-0.3169999999999998,-0.08215460990856897,-0.3179999999999998,1.269895346106864,-0.3169999999999998,0.2490796921830183
-0.3169999999999998,1.692246411222853,-0.3159999999999998,-0.08279500412733391,-0.3169999999999998,1.270144425799047,-0.3159999999999998,0.249059002413565
-0.3159999999999998,1.692163616218726,-0.3149999999999998,-0.08344297378592984,-0.3159999999999998,1.270393484801461,-0.3149999999999998,0.2490378244379696
-0.3149999999999998,1.69208017324494,-0.3139999999999998,-0.08409864442193708,-0.3149999999999998,1.270642522625899,-0.3139999999999998,0.2490161472807892
-0.3139999999999998,1.691996074600518,-0.3129999999999998,-0.08476215186270501,-0.3139999999999998,1.27089153877318,-0.3129999999999998,0.2489939597412059
